Skills,Roles,Experience,Availability,ProjectAssignment,BurnRate,PerformanceRating,Overtime,NumberOfProject,AverageMonthlyHours,TimeSpendCompany,Age,Gender,HistoricalPerformanceData,YearsAtCompany,PromotionLast5Years
"Data Analysis, Matplotlib, SQL, Pandas",Data Scientist,9,Occupied,Cross-group attitude-oriented functionalities,0.94,2,True,3,205,6,53,Female,"4, 1, 4, 3, 1",1,True
"React, JavaScript, SQL",Software Engineer,10,Available,Profound mobile benchmark,0.6,3,False,9,203,5,53,Female,"1, 4, 3, 2, 2",2,True
"CSS, React, JavaScript, Django, HTML",Software Engineer,4,Occupied,Innovative neutral frame,0.24,1,False,1,181,2,60,Female,"1, 3, 3, 1, 3",6,True
"Risk Management, ITIL, Leadership, Budgeting",IT Manager,28,Available,Triple-buffered bottom-line neural-net,0.62,5,False,8,238,8,45,Male,"2, 2, 1, 3, 1",5,True
"Monitoring, Jenkins, Shell Scripting, Azure, Linux",DevOps Engineer,12,Occupied,Managed needs-based database,0.93,4,True,3,179,6,38,Female,"2, 4, 2, 2, 1",0,False
"Cloud Security, Terraform, Google Cloud, Azure",Cloud Engineer,19,Available,Robust neutral parallelism,0.63,4,False,5,234,5,60,Female,"3, 5, 1, 1, 3",2,True
"TensorFlow, SQL, Data Analysis, Pandas, Python",Data Scientist,13,Occupied,Horizontal leadingedge array,0.05,3,False,5,172,9,59,Male,"4, 2, 4, 2, 2",2,True
"Project Management, Strategic Planning, Leadership, Vendor Management, Budgeting",IT Manager,1,Available,Right-sized human-resource functionalities,0.11,5,True,5,179,4,47,Male,"1, 2, 4, 1, 5",6,False
"Django, CSS, JavaScript, Java",Software Engineer,11,Occupied,Re-engineered disintermediate frame,0.36,1,True,4,190,8,38,Female,"5, 3, 3, 5, 5",7,True
"Project Management, Requirements Gathering, Data Modeling, SQL",System Analyst,19,Occupied,Enterprise-wide content-based contingency,0.06,2,True,8,226,8,32,Male,"5, 5, 1, 4, 5",2,False
"SQL, HTML, React",Software Engineer,14,Occupied,Automated reciprocal protocol,0.12,4,False,1,247,2,57,Female,"4, 1, 3, 1, 2",4,False
"Statistics, R, TensorFlow, Pandas, Machine Learning",Data Scientist,6,Occupied,Fundamental methodical architecture,0.25,5,False,1,176,7,31,Female,"4, 4, 3, 2, 1",7,True
"Risk Management, Leadership, Project Management",IT Manager,3,Available,Cross-group systematic system engine,0.71,2,False,4,173,10,27,Female,"4, 5, 2, 5, 3",4,True
"Pandas, Statistics, Machine Learning, Matplotlib, Data Analysis",Data Scientist,21,Occupied,De-engineered coherent alliance,0.88,5,False,3,250,10,51,Male,"4, 5, 2, 2, 3",1,False
"Pandas, R, Machine Learning, Python, Data Analysis",Data Scientist,27,Available,Configurable tangible moratorium,0.25,4,True,6,156,7,31,Female,"5, 5, 3, 5, 1",6,False
"Monitoring, Linux, CI/CD",DevOps Engineer,18,Available,Synergized hybrid strategy,0.62,3,True,6,154,6,59,Male,"3, 4, 3, 1, 3",0,True
"SQL, System Design, Requirements Gathering",System Analyst,19,Available,Progressive even-keeled model,0.8,3,True,1,163,4,32,Female,"5, 1, 5, 5, 2",0,False
"C++, SQL, Python, Java",Software Engineer,6,Occupied,Front-line didactic service-desk,0.31,2,True,7,200,5,26,Male,"5, 3, 4, 5, 3",4,True
"Docker, AWS, Networking",Cloud Engineer,1,Occupied,Reverse-engineered intangible paradigm,0.69,5,False,1,241,10,50,Female,"5, 3, 1, 3, 5",6,True
"Risk Management, Project Management, ITIL, Leadership",IT Manager,25,Available,Grass-roots local methodology,0.5,3,False,9,190,2,39,Female,"1, 5, 2, 5, 4",3,True
"Kubernetes, Cloud Security, Docker, Google Cloud",Cloud Engineer,10,Available,Switchable secondary standardization,0.96,3,False,1,221,7,29,Female,"5, 4, 5, 2, 3",10,False
"C++, Django, CSS",Software Engineer,20,Occupied,Multi-channeled attitude-oriented Graphic Interface,0.27,4,False,3,165,10,52,Male,"3, 4, 2, 1, 1",2,False
"Leadership, Budgeting, Vendor Management, ITIL",IT Manager,17,Occupied,Seamless bifurcated matrix,0.98,2,False,7,230,9,32,Female,"1, 1, 2, 1, 3",6,True
"CSS, Django, React, HTML, Python",Software Engineer,25,Available,Reverse-engineered responsive groupware,0.38,2,True,8,151,9,48,Male,"3, 2, 5, 4, 5",8,True
"JavaScript, Django, C++, CSS, SQL",Software Engineer,30,Occupied,Ergonomic dynamic adapter,0.38,4,False,10,180,9,41,Female,"5, 1, 1, 4, 1",9,True
"Strategic Planning, Budgeting, Project Management, Vendor Management, ITIL",IT Manager,16,Occupied,Upgradable encompassing budgetary management,0.87,3,True,9,172,5,34,Male,"2, 4, 2, 3, 1",9,False
"React, Django, JavaScript",Software Engineer,25,Available,Triple-buffered directional hub,0.5,5,True,10,155,4,53,Female,"5, 4, 4, 4, 5",0,True
"Monitoring, Docker, Shell Scripting",DevOps Engineer,2,Occupied,Down-sized full-range interface,0.16,5,False,10,235,7,27,Male,"5, 5, 3, 2, 5",7,True
"Terraform, AWS, Docker, Kubernetes",Cloud Engineer,11,Available,Centralized bandwidth-monitored toolset,0.05,2,True,4,172,3,44,Male,"3, 4, 4, 3, 4",9,True
"Cloud Security, Google Cloud, Terraform",Cloud Engineer,17,Available,Digitized tangible definition,0.4,2,True,10,194,2,24,Female,"4, 5, 2, 2, 4",7,False
"Business Analysis, Project Management, System Design",System Analyst,4,Occupied,Balanced object-oriented productivity,0.57,5,False,5,188,8,38,Male,"1, 2, 2, 4, 2",6,True
"Data Analysis, Machine Learning, Python, Pandas",Data Scientist,12,Occupied,Public-key real-time software,0.61,1,False,9,165,10,38,Male,"1, 3, 5, 2, 2",2,True
"Google Cloud, AWS, Kubernetes, Docker",Cloud Engineer,13,Available,Compatible 4thgeneration capability,0.05,4,False,8,245,9,57,Male,"2, 3, 4, 4, 2",8,True
"React, Python, CSS, Java, C++",Software Engineer,30,Available,Sharable content-based portal,0.61,3,True,5,249,10,39,Female,"3, 2, 5, 3, 3",3,False
"Data Modeling, UML, Requirements Gathering, System Design, Project Management",System Analyst,1,Occupied,Re-engineered bottom-line infrastructure,0.23,5,False,6,243,5,50,Male,"1, 4, 4, 5, 4",6,True
"Shell Scripting, Jenkins, Azure, Linux, Kubernetes",DevOps Engineer,7,Occupied,Cross-group holistic budgetary management,0.07,2,False,6,165,9,40,Female,"1, 1, 2, 3, 3",2,True
"Jenkins, CI/CD, Linux, AWS",DevOps Engineer,17,Occupied,Automated real-time adapter,0.53,4,False,7,190,10,59,Female,"4, 3, 1, 3, 4",8,True
"Azure, Google Cloud, Cloud Security, Terraform, Networking",Cloud Engineer,14,Available,Ergonomic contextually-based structure,0.0,4,True,5,183,4,31,Female,"4, 2, 1, 4, 3",10,True
"Kubernetes, Shell Scripting, Linux",DevOps Engineer,15,Occupied,Decentralized mission-critical database,0.68,2,False,7,241,10,53,Female,"1, 1, 1, 5, 2",0,False
"CI/CD, Jenkins, AWS, Monitoring, Linux",DevOps Engineer,13,Available,Upgradable analyzing service-desk,0.78,2,True,5,210,5,58,Male,"4, 3, 1, 2, 5",6,True
"Cloud Security, Kubernetes, Python",Cloud Engineer,18,Occupied,Ameliorated needs-based interface,0.4,3,True,9,244,8,42,Male,"1, 2, 2, 3, 3",4,False
"CSS, Python, Java, JavaScript, HTML",Software Engineer,19,Occupied,Secured bandwidth-monitored firmware,0.28,5,True,8,161,7,26,Male,"4, 3, 5, 1, 3",8,True
"SQL, Requirements Gathering, UML, Business Analysis, Data Modeling",System Analyst,30,Occupied,Cloned directional archive,0.66,2,True,8,179,2,58,Male,"3, 4, 3, 1, 1",3,False
"Strategic Planning, Vendor Management, ITIL, Project Management",IT Manager,14,Available,Stand-alone exuding hardware,0.22,5,True,3,164,10,41,Male,"4, 4, 4, 2, 5",10,True
"Matplotlib, Python, Machine Learning",Data Scientist,12,Available,Optional contextually-based approach,0.76,3,False,1,202,1,23,Female,"1, 5, 4, 1, 1",6,False
"Machine Learning, R, TensorFlow, SQL, Pandas",Data Scientist,30,Occupied,Profit-focused maximized analyzer,0.8,2,False,7,184,2,60,Female,"3, 5, 1, 4, 1",9,True
"Python, Java, C++",Software Engineer,8,Occupied,Right-sized bandwidth-monitored standardization,0.83,2,False,6,206,5,24,Female,"4, 4, 2, 5, 4",5,False
"Strategic Planning, Leadership, Risk Management",IT Manager,14,Occupied,Object-based dedicated firmware,0.63,4,True,4,155,1,36,Male,"1, 2, 5, 2, 1",8,False
"Jenkins, Docker, Azure, Kubernetes, CI/CD",DevOps Engineer,30,Available,Multi-channeled upward-trending leverage,0.1,2,False,4,161,2,43,Female,"3, 5, 3, 1, 4",1,False
"Strategic Planning, Budgeting, ITIL",IT Manager,10,Occupied,Re-contextualized composite standardization,0.49,5,False,8,249,7,25,Male,"2, 1, 4, 1, 3",6,True
"Data Analysis, TensorFlow, Matplotlib, Pandas",Data Scientist,10,Occupied,Synergistic demand-driven throughput,0.36,5,False,6,206,9,24,Female,"4, 3, 2, 5, 3",4,False
"JavaScript, Django, Java, Python",Software Engineer,28,Occupied,Centralized zero tolerance service-desk,0.75,4,True,7,191,9,60,Male,"1, 3, 2, 3, 4",5,True
"Monitoring, AWS, Linux, Kubernetes",DevOps Engineer,6,Available,Diverse cohesive Graphical User Interface,0.15,3,False,6,192,4,36,Male,"4, 2, 1, 3, 5",10,False
"AWS, Python, Kubernetes",Cloud Engineer,10,Available,Progressive eco-centric capability,0.38,3,False,5,246,9,55,Male,"2, 4, 5, 1, 5",7,True
"Python, Matplotlib, SQL, R",Data Scientist,9,Occupied,Right-sized leadingedge secured line,0.29,5,True,7,206,2,39,Female,"5, 4, 2, 4, 1",6,False
"C++, JavaScript, React",Software Engineer,9,Occupied,Enhanced 24/7 leverage,0.15,1,False,9,244,9,27,Male,"4, 4, 4, 1, 3",8,False
"JavaScript, CSS, C++",Software Engineer,12,Occupied,Synergized incremental open system,0.99,4,True,8,190,5,54,Female,"5, 2, 2, 2, 3",9,True
"Python, Statistics, TensorFlow, R, Machine Learning",Data Scientist,11,Available,Profound fault-tolerant projection,0.63,3,False,9,239,3,51,Male,"2, 3, 2, 5, 3",2,False
"Jenkins, Kubernetes, Monitoring, Linux, Docker",DevOps Engineer,24,Occupied,Multi-channeled human-resource protocol,0.49,3,True,10,171,5,43,Male,"1, 1, 1, 4, 1",5,True
"Vendor Management, Risk Management, Project Management, Strategic Planning, Budgeting",IT Manager,13,Occupied,Function-based coherent open architecture,0.97,4,False,8,198,6,26,Female,"1, 1, 5, 1, 3",0,False
"Kubernetes, Terraform, Azure, Cloud Security",Cloud Engineer,24,Available,Team-oriented 24/7 knowledgebase,0.9,1,False,1,234,4,42,Male,"3, 3, 3, 3, 2",3,True
"JavaScript, C++, Django",Software Engineer,29,Available,User-centric attitude-oriented groupware,0.96,4,True,4,167,4,42,Female,"5, 2, 3, 5, 5",6,False
"Risk Management, Budgeting, ITIL, Strategic Planning",IT Manager,9,Available,User-centric 6thgeneration moratorium,0.53,1,False,4,154,9,25,Female,"3, 2, 5, 4, 4",1,False
"Business Analysis, Project Management, Requirements Gathering, Data Modeling, SQL",System Analyst,28,Available,Grass-roots client-driven encoding,0.95,5,False,2,234,10,32,Female,"4, 5, 3, 5, 4",1,True
"Django, CSS, HTML",Software Engineer,18,Available,Virtual mission-critical help-desk,0.29,1,True,1,230,8,34,Male,"5, 1, 5, 3, 1",1,True
"Shell Scripting, Docker, CI/CD, Monitoring, Linux",DevOps Engineer,29,Available,Seamless executive service-desk,0.73,5,True,9,181,2,27,Male,"5, 1, 3, 4, 2",6,True
"Java, React, HTML",Software Engineer,15,Available,Multi-channeled optimizing productivity,0.08,3,True,4,172,1,54,Male,"3, 3, 2, 3, 5",6,False
"Data Analysis, Statistics, R, Pandas",Data Scientist,5,Available,Secured clear-thinking structure,0.09,5,True,8,230,10,56,Male,"1, 3, 3, 1, 4",0,False
"Leadership, Vendor Management, ITIL, Strategic Planning",IT Manager,1,Occupied,Integrated human-resource synergy,0.28,4,True,5,213,9,40,Male,"2, 1, 5, 4, 3",6,True
"HTML, React, SQL, CSS, JavaScript",Software Engineer,13,Available,Operative solution-oriented artificial intelligence,0.25,4,False,7,150,6,29,Female,"2, 2, 5, 4, 5",2,True
"SQL, Requirements Gathering, Data Modeling",System Analyst,4,Occupied,Adaptive radical core,0.45,2,False,4,240,1,40,Female,"5, 2, 1, 4, 5",7,False
"Azure, AWS, Docker",Cloud Engineer,12,Occupied,Total full-range complexity,0.16,3,True,4,158,3,30,Female,"4, 4, 1, 3, 5",4,False
"Python, Java, Django, HTML, CSS",Software Engineer,21,Available,Front-line directional productivity,0.72,5,True,7,152,3,52,Female,"5, 3, 5, 5, 1",7,False
"Cloud Security, Google Cloud, Kubernetes, AWS, Terraform",Cloud Engineer,2,Occupied,Organized homogeneous strategy,0.26,1,False,9,247,5,59,Female,"4, 3, 2, 4, 4",4,True
"Data Modeling, Requirements Gathering, UML, Business Analysis",System Analyst,30,Occupied,Synergistic non-volatile instruction set,0.14,1,False,3,244,2,48,Male,"5, 2, 3, 1, 2",0,True
"Matplotlib, Pandas, Machine Learning, Python",Data Scientist,25,Available,Automated impactful standardization,0.63,4,False,1,240,1,39,Male,"5, 2, 3, 2, 4",3,True
"Linux, Jenkins, CI/CD, Monitoring, Docker",DevOps Engineer,6,Available,Re-contextualized intangible throughput,0.25,2,False,5,203,10,33,Female,"1, 1, 4, 1, 2",9,True
"TensorFlow, Statistics, Matplotlib",Data Scientist,1,Occupied,Switchable tertiary analyzer,0.95,4,True,3,217,2,31,Female,"1, 5, 5, 4, 4",5,False
"Strategic Planning, Budgeting, ITIL, Project Management, Risk Management",IT Manager,20,Occupied,Down-sized local architecture,0.43,4,False,6,233,1,33,Male,"5, 5, 2, 4, 5",10,True
"Kubernetes, Docker, Jenkins",DevOps Engineer,27,Occupied,Fundamental tangible complexity,0.8,5,True,1,209,2,38,Male,"4, 3, 2, 2, 4",2,False
"Docker, Azure, Terraform, Cloud Security",Cloud Engineer,22,Available,Organized multi-tasking matrix,0.27,5,False,10,247,9,48,Female,"1, 3, 2, 2, 5",6,True
"Data Modeling, Requirements Gathering, UML",System Analyst,5,Available,Realigned real-time system engine,0.11,5,True,7,199,4,32,Female,"4, 1, 2, 2, 2",1,False
"Django, CSS, HTML",Software Engineer,10,Occupied,Adaptive 5thgeneration methodology,0.74,2,False,10,245,1,50,Female,"4, 2, 5, 5, 3",8,False
"R, Python, Pandas",Data Scientist,27,Available,Inverse fault-tolerant Local Area Network,0.57,2,False,7,201,10,52,Female,"1, 1, 3, 1, 2",8,True
"Requirements Gathering, UML, System Design",System Analyst,27,Available,Business-focused intangible core,0.03,4,False,1,207,2,28,Female,"4, 4, 4, 3, 4",7,False
"SQL, C++, CSS, HTML, JavaScript",Software Engineer,15,Occupied,Reactive scalable artificial intelligence,0.48,1,False,7,208,4,25,Male,"2, 5, 5, 3, 2",3,True
"Project Management, Leadership, Strategic Planning",IT Manager,12,Occupied,Up-sized clear-thinking access,0.02,4,True,1,214,9,28,Male,"5, 2, 1, 5, 1",7,True
"JavaScript, Python, React, C++, CSS",Software Engineer,6,Available,Open-architected systematic instruction set,0.18,3,True,8,198,1,26,Male,"5, 5, 1, 1, 2",0,False
"C++, HTML, Python, SQL",Software Engineer,24,Available,Intuitive 24hour data-warehouse,0.75,2,False,7,241,7,27,Male,"1, 3, 1, 4, 5",10,False
"Kubernetes, Networking, Azure, Terraform",Cloud Engineer,11,Occupied,Advanced transitional system engine,0.35,5,False,10,220,6,60,Male,"4, 1, 3, 4, 2",3,False
"Jenkins, Monitoring, CI/CD",DevOps Engineer,20,Occupied,Adaptive systematic moderator,0.7,1,True,4,230,10,25,Female,"5, 3, 4, 1, 2",4,False
"Django, Python, SQL, JavaScript",Software Engineer,21,Available,Seamless bandwidth-monitored core,0.18,1,False,1,205,2,58,Male,"1, 1, 3, 1, 4",10,True
"Business Analysis, Data Modeling, UML",System Analyst,23,Occupied,Decentralized real-time projection,0.43,3,False,2,230,8,34,Male,"2, 1, 2, 3, 2",8,True
"Machine Learning, Matplotlib, Python, Statistics",Data Scientist,9,Occupied,Exclusive exuding focus group,0.51,4,False,6,215,10,49,Male,"5, 3, 3, 5, 4",4,True
"AWS, Docker, Google Cloud, Azure",Cloud Engineer,24,Occupied,Team-oriented contextually-based attitude,0.8,2,False,9,223,9,51,Male,"5, 2, 4, 4, 1",2,False
"Pandas, SQL, R, Statistics, Machine Learning",Data Scientist,24,Available,Phased hybrid product,0.28,1,False,8,235,1,37,Female,"3, 4, 5, 1, 1",3,True
"Docker, Networking, Google Cloud",Cloud Engineer,5,Available,Configurable 3rdgeneration focus group,0.59,5,True,10,234,2,25,Male,"3, 4, 2, 5, 5",7,True
"UML, SQL, System Design, Requirements Gathering",System Analyst,21,Available,Organized bifurcated extranet,0.98,5,True,8,173,1,45,Female,"3, 1, 5, 3, 1",3,False
"React, JavaScript, CSS, C++, Django",Software Engineer,12,Occupied,Devolved solution-oriented model,0.43,4,True,6,204,9,44,Female,"5, 2, 1, 2, 3",1,False
"JavaScript, Java, React, Python, CSS",Software Engineer,19,Available,Streamlined secondary hardware,0.81,4,False,4,211,3,49,Male,"2, 2, 2, 2, 3",1,True
"HTML, Java, Django, CSS",Software Engineer,7,Available,Customizable coherent focus group,0.89,3,False,5,196,6,47,Female,"3, 1, 1, 5, 3",6,True
"Python, React, Django, Java, JavaScript",Software Engineer,10,Occupied,Ameliorated 6thgeneration analyzer,0.27,2,True,9,169,9,49,Male,"2, 3, 3, 5, 3",4,True
"SQL, Business Analysis, Requirements Gathering",System Analyst,12,Available,Expanded systemic firmware,0.13,3,False,7,176,6,56,Female,"5, 3, 5, 2, 3",10,False
"Linux, Jenkins, CI/CD, Kubernetes",DevOps Engineer,10,Occupied,Realigned foreground hierarchy,0.32,2,True,1,245,4,59,Male,"2, 1, 1, 5, 2",0,True
"AWS, Python, Google Cloud, Azure",Cloud Engineer,3,Available,Re-contextualized 6thgeneration synergy,0.84,4,False,9,173,2,50,Female,"3, 4, 1, 4, 4",2,True
"Django, C++, Java, CSS",Software Engineer,19,Available,Total real-time projection,0.82,1,False,3,213,8,53,Female,"3, 1, 1, 1, 4",7,True
"Pandas, TensorFlow, Data Analysis",Data Scientist,27,Available,Proactive transitional project,0.92,2,False,3,216,9,44,Male,"2, 3, 5, 2, 3",4,True
"Python, Azure, AWS, Terraform, Cloud Security",Cloud Engineer,22,Occupied,Persevering scalable Internet solution,0.66,1,False,6,199,6,56,Female,"1, 1, 5, 5, 5",4,False
"ITIL, Risk Management, Leadership, Budgeting, Project Management",IT Manager,21,Available,Multi-layered national conglomeration,0.1,3,False,5,230,6,49,Female,"1, 4, 5, 2, 4",10,False
"Strategic Planning, Project Management, ITIL, Vendor Management, Leadership",IT Manager,12,Available,Expanded homogeneous parallelism,0.88,4,False,10,249,3,39,Male,"2, 4, 3, 4, 4",2,False
"Networking, Terraform, Cloud Security, Azure, AWS",Cloud Engineer,16,Occupied,Implemented 24/7 challenge,0.74,2,False,2,205,10,49,Female,"4, 3, 2, 3, 3",2,False
"System Design, Requirements Gathering, Project Management, UML",System Analyst,13,Occupied,Distributed encompassing groupware,0.91,2,True,9,155,2,49,Male,"1, 2, 4, 4, 4",0,True
"UML, Project Management, Data Modeling, System Design, SQL",System Analyst,23,Available,Mandatory holistic structure,0.21,4,True,3,194,5,38,Male,"3, 1, 4, 3, 4",5,True
"HTML, Java, C++, Django",Software Engineer,4,Occupied,Cross-group global time-frame,0.74,3,False,6,186,2,58,Female,"3, 3, 5, 3, 4",4,False
"Django, Python, React, C++",Software Engineer,22,Occupied,Secured 5thgeneration analyzer,0.02,2,False,8,248,7,59,Male,"2, 2, 3, 2, 3",2,True
"Pandas, TensorFlow, Data Analysis, Matplotlib, Machine Learning",Data Scientist,4,Occupied,Future-proofed cohesive collaboration,0.74,3,False,4,233,8,39,Female,"1, 4, 1, 4, 5",1,True
"Azure, Python, Google Cloud, Networking",Cloud Engineer,9,Occupied,Reduced explicit hierarchy,0.78,1,True,7,242,10,47,Female,"2, 5, 5, 4, 3",5,True
"Kubernetes, Azure, AWS, Linux, Jenkins",DevOps Engineer,23,Available,Object-based neutral capacity,0.23,1,True,3,163,9,34,Female,"4, 1, 1, 2, 4",9,False
"Java, HTML, Django, C++, React",Software Engineer,4,Occupied,Implemented bifurcated matrices,0.67,5,False,4,233,5,58,Male,"1, 5, 2, 3, 1",4,True
"Shell Scripting, CI/CD, Linux, Azure, Docker",DevOps Engineer,14,Available,Upgradable disintermediate application,0.27,5,False,10,176,4,31,Female,"2, 4, 2, 2, 2",7,True
"Java, C++, SQL, CSS",Software Engineer,24,Occupied,Integrated context-sensitive model,0.89,2,True,3,160,10,44,Female,"5, 5, 4, 3, 3",3,False
"Kubernetes, Monitoring, CI/CD, Linux",DevOps Engineer,6,Available,Upgradable asynchronous framework,0.42,4,True,6,157,6,37,Female,"1, 4, 3, 3, 4",9,True
"Business Analysis, SQL, System Design, Data Modeling, Project Management",System Analyst,4,Available,Open-architected full-range framework,0.09,4,False,5,246,9,22,Female,"3, 1, 3, 1, 4",9,True
"UML, Data Modeling, Requirements Gathering, SQL, System Design",System Analyst,14,Available,Operative bi-directional attitude,0.7,5,True,1,192,8,56,Male,"4, 4, 5, 1, 4",10,True
"Strategic Planning, Leadership, Risk Management, Vendor Management",IT Manager,19,Available,Realigned mission-critical leverage,0.89,1,True,1,245,4,51,Male,"3, 5, 3, 2, 1",5,True
"Vendor Management, ITIL, Leadership, Budgeting, Project Management",IT Manager,29,Occupied,Mandatory global capability,0.76,4,False,5,212,4,25,Male,"1, 5, 3, 2, 2",2,False
"Docker, Jenkins, Kubernetes",DevOps Engineer,8,Occupied,Polarized bifurcated standardization,0.59,4,True,4,161,3,27,Male,"4, 2, 2, 3, 2",9,True
"SQL, Python, Django, JavaScript, CSS",Software Engineer,27,Available,Proactive interactive alliance,0.17,4,False,2,183,5,58,Male,"1, 1, 3, 4, 2",9,False
"Risk Management, Leadership, ITIL",IT Manager,24,Occupied,Innovative full-range support,0.73,4,True,4,163,8,40,Male,"2, 4, 1, 4, 5",7,True
"Python, Kubernetes, Azure, Docker, Cloud Security",Cloud Engineer,26,Occupied,Synergized coherent concept,0.3,2,True,7,169,6,41,Female,"1, 5, 2, 4, 5",7,False
"ITIL, Vendor Management, Strategic Planning, Leadership, Budgeting",IT Manager,6,Available,Self-enabling non-volatile implementation,0.59,2,False,1,197,7,32,Male,"5, 3, 3, 4, 1",2,False
"HTML, Python, C++",Software Engineer,1,Occupied,Sharable background architecture,0.55,1,True,6,170,2,60,Male,"5, 4, 3, 5, 5",0,False
"Azure, Kubernetes, AWS, Networking, Terraform",Cloud Engineer,8,Available,Configurable dedicated synergy,0.19,2,True,10,206,1,26,Male,"4, 4, 3, 5, 5",0,True
"Docker, Monitoring, Jenkins, Linux",DevOps Engineer,23,Available,Face-to-face analyzing info-mediaries,0.16,5,False,5,229,8,43,Female,"1, 4, 4, 4, 3",3,False
"Python, React, JavaScript",Software Engineer,10,Available,Advanced bandwidth-monitored infrastructure,0.48,5,False,2,157,10,25,Female,"4, 4, 2, 5, 2",7,False
"Networking, Kubernetes, Terraform",Cloud Engineer,29,Occupied,Realigned multi-state frame,0.17,5,False,7,204,9,42,Male,"2, 3, 5, 1, 1",9,False
